Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Sign Up/a_Sign up""))",Chrome 116.0.0.0,,,2023-09-26 23:39:40,2023-09-26 23:39:41,0.840s,PASSED
"username = ""lihat.langit""",Chrome 116.0.0.0,,,2023-09-26 23:39:41,2023-09-26 23:39:41,0.001s,PASSED
"password = ""Test123!""",Chrome 116.0.0.0,,,2023-09-26 23:39:41,2023-09-26 23:39:41,0.000s,PASSED
"click(findTestObject(""Sign Up/button_Sign up""))",Chrome 116.0.0.0,,,2023-09-26 23:39:41,2023-09-26 23:39:42,0.704s,PASSED
acceptAlert(),Chrome 116.0.0.0,,,2023-09-26 23:39:42,2023-09-26 23:39:42,0.044s,PASSED
"setText(findTestObject(""Sign Up/input_signupPassword""), password)",Chrome 116.0.0.0,,,2023-09-26 23:39:42,2023-09-26 23:39:43,1.000s,PASSED
"click(findTestObject(""Sign Up/button_Sign up""))",Chrome 116.0.0.0,,,2023-09-26 23:39:43,2023-09-26 23:39:44,0.609s,PASSED
acceptAlert(),Chrome 116.0.0.0,,,2023-09-26 23:39:44,2023-09-26 23:39:44,0.034s,PASSED
"setText(findTestObject(""Sign Up/input_signupUsername""), username)",Chrome 116.0.0.0,,,2023-09-26 23:39:44,2023-09-26 23:39:44,0.903s,PASSED
delay(3),Chrome 116.0.0.0,,,2023-09-26 23:39:44,2023-09-26 23:39:48,3.028s,PASSED
"clearText(findTestObject(""Sign Up/input_signupPassword""))",Chrome 116.0.0.0,,,2023-09-26 23:39:48,2023-09-26 23:39:48,0.482s,PASSED
delay(3),Chrome 116.0.0.0,,,2023-09-26 23:39:48,2023-09-26 23:39:51,3.014s,PASSED
"click(findTestObject(""Sign Up/button_Sign up""))",Chrome 116.0.0.0,,,2023-09-26 23:39:51,2023-09-26 23:39:51,0.474s,PASSED
acceptAlert(),Chrome 116.0.0.0,,,2023-09-26 23:39:51,2023-09-26 23:39:51,0.016s,PASSED
navigateToUrl(demoBlazeURL),Chrome 116.0.0.0,,,2023-09-26 23:39:52,2023-09-26 23:39:53,1.905s,PASSED
,,,,,,,
Test Cases/01 - Sign Up/02 - Negative Sign Up,Chrome 116.0.0.0,,,2023-09-26 23:39:53,2023-09-26 23:40:10,17.001s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-26 23:39:54,2023-09-26 23:39:56,2.127s,PASSED
navigateToUrl(demoBlazeURL),Chrome 116.0.0.0,,,2023-09-26 23:39:56,2023-09-26 23:39:57,1.170s,PASSED
"click(findTestObject(""Sign Up/a_Sign up""))",Chrome 116.0.0.0,,,2023-09-26 23:39:57,2023-09-26 23:39:59,1.298s,PASSED
"username = ""lihat.langit""",Chrome 116.0.0.0,,,2023-09-26 23:39:59,2023-09-26 23:39:59,0.001s,PASSED
"password = ""Test123!""",Chrome 116.0.0.0,,,2023-09-26 23:39:59,2023-09-26 23:39:59,0.000s,PASSED
"click(findTestObject(""Sign Up/button_Sign up""))",Chrome 116.0.0.0,,,2023-09-26 23:39:59,2023-09-26 23:39:59,0.712s,PASSED
acceptAlert(),Chrome 116.0.0.0,,,2023-09-26 23:39:59,2023-09-26 23:39:59,0.014s,PASSED
"setText(findTestObject(""Sign Up/input_signupPassword""), password)",Chrome 116.0.0.0,,,2023-09-26 23:39:59,2023-09-26 23:40:00,0.962s,PASSED
"click(findTestObject(""Sign Up/button_Sign up""))",Chrome 116.0.0.0,,,2023-09-26 23:40:00,2023-09-26 23:40:01,0.482s,PASSED
acceptAlert(),Chrome 116.0.0.0,,,2023-09-26 23:40:01,2023-09-26 23:40:01,0.017s,PASSED
"setText(findTestObject(""Sign Up/input_signupUsername""), username)",Chrome 116.0.0.0,,,2023-09-26 23:40:01,2023-09-26 23:40:02,0.940s,PASSED
delay(3),Chrome 116.0.0.0,,,2023-09-26 23:40:02,2023-09-26 23:40:05,3.008s,PASSED
"clearText(findTestObject(""Sign Up/input_signupPassword""))",Chrome 116.0.0.0,,,2023-09-26 23:40:05,2023-09-26 23:40:05,0.452s,PASSED
delay(3),Chrome 116.0.0.0,,,2023-09-26 23:40:05,2023-09-26 23:40:08,3.015s,PASSED
"click(findTestObject(""Sign Up/button_Sign up""))",Chrome 116.0.0.0,,,2023-09-26 23:40:08,2023-09-26 23:40:09,0.467s,PASSED
acceptAlert(),Chrome 116.0.0.0,,,2023-09-26 23:40:09,2023-09-26 23:40:09,0.011s,PASSED
navigateToUrl(demoBlazeURL),Chrome 116.0.0.0,,,2023-09-26 23:40:09,2023-09-26 23:40:10,1.830s,PASSED
